No|Judul|Penulis|Genre|Tahun Terbit|Kategori
1|Arena Wati|Shahnon Ahmad|Fiksi|2006|sastramelayu
2|Seorang Tua di Kaki Gunung|Azizi Haji Abdullah|Novel|2001|sastramelayu
3|Imam|Abdullah Hussain|Novel|1995|sastramelayu
4|Anak Mat Lela Gila|Ishak Haji Muhammad|Novel|2012|sastramelayu
5|Ayahanda|Azizi Haji Abdullah|Novel|1997|sastramelayu
6|ADAM : Aku Darah Anak Malaysia|Ramlee Awang Murshid |Fiksi|2001|sastramelayu
7|Bagaikan Puteri|Ramlee Awang Murshid|Novel|2012|sastramelayu
8|Kunang Pesisir Morten|Raiha Bahaudin |Novel|2015|sastramelayu
9|Senjakala|Baharuddin Kahar|Fiksi|1990|sastramelayu
10|Rindu Aroma Padi Bunting|Arena Wati|Novel|2012|sastramelayu
11|Mencari Locus Standi|Nisah Haji Haron |Novel|2006|sastramelayu
12|Putera Gunung Tahan|Ishak Haji Muhammad|Novel|2000|sastramelayu
13|Manikam Kalbu|Faisal Tehrani|Novel|2007|sastramelayu
14|Bercakap Dengan Jin |Tamar Jalis|Fiksi|2011|sastramelayu
15|Lentera Mustika|Nisah Haji Haron |Novel|2009|sastramelayu
16|Rimba Harapan|Keris Mas|Novel|1986|sastramelayu
17|Ini Saya Punya Kerja|Usman Awang|Cerpen|1999|sastramelayu
18|Sukma Angin|Arena Wati|Novel|1999|sastramelayu
19|Sudara|Arena Wati|Novel|1994|sastramelayu
20|Begawan|Arena Wati|Novel|1996|sastramelayu
21|Ombak Samudera|Arena Wati|Cerpen|1992|sastramelayu
22|Tulang Tulang Berserakan|Usman Awang|Sejarah|1992|sastramelayu
23|Pecah|Khairulnizam Bakeri |Novel|2011|sastramelayu
24|Masuk ke Dalam Cahaya|Abdullah Hussain|Novel|1997|sastramelayu
25|Langit Petang|A. Samad Said|Novel|1980|sastramelayu
26|Rahsia Perindu|Ramlee Awang Murshid|Novel|2005|sastramelayu
27|Hari-hari Terakhir Seorang Seniman|Anwar Ridhwan|Novel|1979|sastramelayu
28|Penyeberang Sempadan|Anwar Ridhwan|Novel|2012|sastramelayu
29|Adik Datang|A. Samad Said|Novel|2003|sastramelayu
30|Daerah Zeni|A. Samad Said|Novel|1991|sastramelayu
31|Perlumbaan Kedua|Marwilis Haji Yusof|Novel|1992|sastramelayu
32|Dunia Adalah Sebuah Apartmen|Anwar Ridhwan|Cerpen|2005|sastramelayu
