Wall time,Step,Value
1636981210.234594,0,0.5189189314842224
1636981210.403059,1,0.8216215968132019
1636981210.568608,2,0.7594594359397888
1636981210.735367,3,0.7027027010917664
1636981210.898979,4,0.8189189434051514
1636981211.068257,5,0.8945946097373962
1636981211.232238,6,0.9243243336677551
1636981211.401074,7,0.9324324131011963
1636981211.568981,8,0.9405405521392822
1636981211.736305,9,0.9405405521392822
1636981211.900966,10,0.9405405521392822
1636981212.06478,11,0.9405405521392822
1636981212.223128,12,0.9405405521392822
1636981212.387644,13,0.9513513445854187
1636981212.551063,14,0.9756757020950317
1636981212.722575,15,0.9891892075538635
1636981212.886985,16,0.9972972869873047
1636981213.052725,17,1.0
1636981213.212986,18,1.0
1636981213.374948,19,1.0
1636981213.539441,20,1.0
1636981213.705979,21,1.0
1636981213.872001,22,1.0
1636981214.038455,23,1.0
1636981214.205504,24,1.0
1636981214.377193,25,1.0
1636981214.538418,26,1.0
1636981214.707365,27,1.0
1636981214.874115,28,1.0
1636981215.043562,29,1.0
1636981215.214418,30,1.0
1636981215.38433,31,1.0
1636981215.552481,32,1.0
1636981215.715743,33,1.0
1636981215.882234,34,1.0
1636981216.047539,35,1.0
1636981216.21148,36,1.0
1636981216.374313,37,1.0
1636981216.53532,38,1.0
1636981216.697642,39,1.0
1636981216.860042,40,1.0
1636981217.020633,41,1.0
1636981217.191621,42,1.0
1636981217.360681,43,1.0
1636981217.52388,44,1.0
1636981217.685845,45,1.0
1636981217.85166,46,1.0
1636981218.011038,47,1.0
1636981218.175313,48,1.0
1636981218.339007,49,1.0
1636981218.505882,50,1.0
1636981218.669461,51,1.0
1636981218.834547,52,1.0
1636981219.002794,53,1.0
1636981219.161414,54,1.0
1636981219.32665,55,1.0
1636981219.48654,56,1.0
1636981219.65307,57,1.0
1636981219.814882,58,1.0
1636981219.978928,59,1.0
1636981220.143708,60,1.0
1636981220.30825,61,1.0
1636981220.478956,62,1.0
1636981220.642775,63,1.0
1636981220.810305,64,1.0
1636981220.979784,65,1.0
1636981221.142756,66,1.0
1636981221.305331,67,1.0
1636981221.480028,68,1.0
1636981221.643529,69,1.0
1636981221.810485,70,1.0
1636981221.974053,71,1.0
1636981222.137699,72,1.0
1636981222.303727,73,1.0
1636981222.475345,74,1.0
